id_venta,fecha_venta,producto,cantidad,precio_total,precio_unitario,rut,fecha_ingesta
001,2024-03-01,TANK TOP STK,2,30000,15000,123456789,2026-04-27 14:59:47
002,2024-03-01,TERMIKA JACKET,1,45000,45000,156789012,2026-04-27 14:59:47
003,2024-03-02,JEANS MULTI CARGO NEGRO,1,35000,35000,18432111K,2026-04-27 14:59:47
004,2024-03-02,HUMAN FC TEE,3,60000,20000,201234567,2026-04-27 14:59:47
005,2024-03-03,POLERA BOXY FIT BLONDE,2,50000,25000,109876543,2026-04-27 14:59:47
006,2024-03-03,SANDY BAGGOS JEANS,1,42000,42000,145556667,2026-04-27 14:59:47
007,2024-03-04,LLAVERO PELUCHE HANGYODON,4,20000,5000,178889990,2026-04-27 14:59:47
008,2024-03-04,POLERÓN OVERSIZE ONE PIECE,1,38000,38000,192223334,2026-04-27 14:59:47
009,2024-03-05,GORRO BEANIE BANDAI,2,24000,12000,134445556,2026-04-27 14:59:47
010,2024-03-05,CALCETINES SKATE BLANCOS,5,40000,8000,167778889,2026-04-27 14:59:47
011,2024-03-06,PARCHES BORDADOS NARUTO,3,15000,5000,112223334,2026-04-27 14:59:47
012,2024-03-06,CHAQUETA DENIM VINTAGE,1,55000,55000,213334445,2026-04-27 14:59:47
013,2024-03-07,TOTE BAG CANVAS BLACK,2,18000,9000,146667778,2026-04-27 14:59:47
014,2024-03-07,PANTALÓN PARACHUTE KHAKI,1,38000,38000,189990001,2026-04-27 14:59:47
015,2024-03-08,COJÍN HANGYODON XL,1,25000,25000,121112223,2026-04-27 14:59:47
016,2024-03-08,HOODIE REFLECTIVE DARK,1,42000,42000,15444555K,2026-04-27 14:59:47
017,2024-03-09,SHORTS MESH TRAINING,2,24000,12000,207778889,2026-04-27 14:59:47
018,2024-03-09,CAMISA FLANELA GRUNGE,1,28000,28000,130001112,2026-04-27 14:59:47
019,2024-03-10,SET STICKERS SANRIO,5,10000,2000,163334445,2026-04-27 14:59:47
020,2024-03-10,LENTES DE SOL RETRO,1,15000,15000,196667778,2026-04-27 14:59:47
021,2024-03-11,BOMBER JACKET SATIN,1,60000,60000,119990001,2026-04-27 14:59:47
